key,buy_high_min,buy_high_max,sector_high_min,sector_high_max,volume_z_min,fear_lookback,fear_threshold,volume_lookback,low_count_min,arm_window,exit_atr,max_positions,sectors,in_signals,in_median,in_mdd,in_calmar,out_median,out_mdd,out_calmar,win_pct
h13_z1.5_f3_p8,1,3,2,2,1.5,3,40.0,20,9,0,2.0,8,default54,386,-1.37,-32.32,-0.017,-14.52,-27.07,-0.454,52.07
h13_z1.5_f3_p10,1,3,2,2,1.5,3,40.0,20,9,0,2.0,10,default54,386,3.59,-32.25,0.044,-13.08,-28.41,-0.389,52.07
h13_z1.5_f5_p5,1,3,2,2,1.5,5,40.0,20,9,0,2.0,5,default54,510,7.89,-32.45,0.095,-12.15,-36.22,-0.283,48.82
h13_z1.5_f5_p8,1,3,2,2,1.5,5,40.0,20,9,0,2.0,8,default54,510,11.8,-32.75,0.14,-17.69,-29.87,-0.503,48.82
h13_z1.5_f5_p10,1,3,2,2,1.5,5,40.0,20,9,0,2.0,10,default54,510,12.47,-32.81,0.147,-18.69,-29.36,-0.541,48.82
h14_zoff_f1_p5,1,4,2,2,,1,40.0,20,9,0,2.0,5,default54,280,-2.89,-38.01,-0.031,-29.72,-37.43,-0.682,55.36
h14_zoff_f1_p8,1,4,2,2,,1,40.0,20,9,0,2.0,8,default54,280,-6.03,-41.6,-0.059,-22.31,-32.89,-0.578,55.36
h14_zoff_f1_p10,1,4,2,2,,1,40.0,20,9,0,2.0,10,default54,280,-5.34,-39.24,-0.055,-18.57,-31.96,-0.494,55.36
h14_zoff_f3_p5,1,4,2,2,,3,40.0,20,9,0,2.0,5,default54,782,35.29,-40.2,0.321,-6.24,-16.78,-0.312,49.62
h14_zoff_f3_p8,1,4,2,2,,3,40.0,20,9,0,2.0,8,default54,782,27.16,-37.94,0.267,-7.5,-16.37,-0.385,49.62
h14_zoff_f3_p10,1,4,2,2,,3,40.0,20,9,0,2.0,10,default54,782,17.0,-37.4,0.174,-7.36,-16.5,-0.375,49.62
h14_zoff_f5_p5,1,4,2,2,,5,40.0,20,9,0,2.0,5,default54,977,8.28,-48.64,0.067,-8.16,-16.18,-0.425,48.93
h14_zoff_f5_p8,1,4,2,2,,5,40.0,20,9,0,2.0,8,default54,977,11.8,-44.94,0.102,-9.08,-15.99,-0.478,48.93
h14_zoff_f5_p10,1,4,2,2,,5,40.0,20,9,0,2.0,10,default54,977,5.89,-43.87,0.053,-8.76,-15.73,-0.469,48.93
